"date","ex_rate","ex_diff","diff_lag"
2000-08-17,0.92,0,0.0108695652173913
2000-08-18,0.91,-0.010989010989011,0
2000-08-21,0.9,-0.0111111111111111,-0.010989010989011
2000-08-22,0.9,0,-0.0111111111111111
2000-08-23,0.9,0,0
2000-08-24,0.9,0,0
2000-08-25,0.9,0,0
2000-08-28,0.9,0,0
2000-08-29,0.89,-0.0112359550561798,0
2000-08-30,0.89,0,-0.0112359550561798
2000-08-31,0.89,0,0
2000-09-01,0.9,0.0111111111111111,0
2000-09-04,0.9,0,0.0111111111111111
2000-09-05,0.89,-0.0112359550561798,0
2000-09-06,0.87,-0.0229885057471265,-0.0112359550561798
2000-09-07,0.87,0,-0.0229885057471265
2000-09-08,0.87,0,0
2000-09-11,0.86,-0.0116279069767442,0
2000-09-12,0.86,0,-0.0116279069767442
2000-09-13,0.86,0,0
2000-09-14,0.86,0,0
2000-09-15,0.85,-0.011764705882353,0
2000-09-18,0.85,0,-0.011764705882353
2000-09-19,0.85,0,0
2000-09-20,0.85,0,0
2000-09-21,0.86,0.0116279069767442,0
2000-09-22,0.88,0.0227272727272727,0.0116279069767442
2000-09-25,0.87,-0.0114942528735632,0.0227272727272727
2000-09-26,0.88,0.0113636363636364,-0.0114942528735632
2000-09-27,0.88,0,0.0113636363636364
2000-09-28,0.88,0,0
2000-09-29,0.88,0,0
2000-10-02,0.88,0,0
2000-10-03,0.88,0,0
2000-10-04,0.87,-0.0114942528735632,0
2000-10-05,0.87,0,-0.0114942528735632
2000-10-06,0.87,0,0
2000-10-09,0.87,0,0
2000-10-10,0.87,0,0
2000-10-11,0.87,0,0
2000-10-12,0.86,-0.0116279069767442,0
2000-10-13,0.86,0,-0.0116279069767442
2000-10-16,0.85,-0.011764705882353,0
2000-10-17,0.85,0,-0.011764705882353
2000-10-18,0.84,-0.0119047619047619,0
2000-10-19,0.84,0,-0.0119047619047619
2000-10-20,0.84,0,0
2000-10-23,0.84,0,0
2000-10-24,0.84,0,0
2000-10-25,0.83,-0.0120481927710843,0
2000-10-26,0.83,0,-0.0120481927710843
2000-10-27,0.84,0.0119047619047619,0
2000-10-30,0.84,0,0.0119047619047619
2000-10-31,0.85,0.011764705882353,0
2000-11-01,0.86,0.0116279069767442,0.011764705882353
2000-11-02,0.86,0,0.0116279069767442
2000-11-03,0.87,0.0114942528735632,0
2000-11-06,0.86,-0.0116279069767442,0.0114942528735632
2000-11-07,0.86,0,-0.0116279069767442
2000-11-08,0.86,0,0
2000-11-09,0.87,0.0114942528735632,0
2000-11-10,0.86,-0.0116279069767442,0.0114942528735632
2000-11-13,0.86,0,-0.0116279069767442
2000-11-14,0.86,0,0
2000-11-15,0.86,0,0
2000-11-16,0.85,-0.011764705882353,0
2000-11-17,0.85,0,-0.011764705882353
2000-11-20,0.85,0,0
2000-11-21,0.84,-0.0119047619047619,0
2000-11-22,0.85,0.011764705882353,-0.0119047619047619
2000-11-23,0.84,-0.0119047619047619,0.011764705882353
2000-11-24,0.84,0,-0.0119047619047619
2000-11-27,0.85,0.011764705882353,0
2000-11-28,0.86,0.0116279069767442,0.011764705882353
2000-11-29,0.86,0,0.0116279069767442
2000-11-30,0.87,0.0114942528735632,0
2000-12-01,0.88,0.0113636363636364,0.0114942528735632
2000-12-04,0.89,0.0112359550561798,0.0113636363636364
2000-12-05,0.88,-0.0113636363636364,0.0112359550561798
2000-12-06,0.89,0.0112359550561798,-0.0113636363636364
2000-12-07,0.89,0,0.0112359550561798
2000-12-08,0.89,0,0
2000-12-11,0.88,-0.0113636363636364,0
2000-12-12,0.88,0,-0.0113636363636364
2000-12-13,0.88,0,0
2000-12-14,0.89,0.0112359550561798,0
2000-12-15,0.9,0.0111111111111111,0.0112359550561798
2000-12-18,0.9,0,0.0111111111111111
2000-12-19,0.9,0,0
2000-12-20,0.91,0.010989010989011,0
2000-12-21,0.92,0.0108695652173913,0.010989010989011
2000-12-22,0.92,0,0.0108695652173913
2000-12-25,0.93,0.010752688172043,0
2000-12-26,0.93,0,0.010752688172043
2000-12-27,0.93,0,0
2000-12-28,0.93,0,0
2000-12-29,0.94,0.0106382978723403,0
2001-01-01,0.94,0,0.0106382978723403
2001-01-02,0.95,0.0105263157894737,0
2001-01-03,0.93,-0.0215053763440859,0.0105263157894737
2001-01-04,0.95,0.0210526315789473,-0.0215053763440859
2001-01-05,0.96,0.0104166666666667,0.0210526315789473
2001-01-08,0.95,-0.0105263157894737,0.0104166666666667
2001-01-09,0.94,-0.0106382978723404,-0.0105263157894737
2001-01-10,0.94,0,-0.0106382978723404
2001-01-11,0.95,0.0105263157894737,0
2001-01-12,0.95,0,0.0105263157894737
2001-01-15,0.94,-0.0106382978723404,0
2001-01-16,0.94,0,-0.0106382978723404
2001-01-17,0.94,0,0
2001-01-18,0.94,0,0
2001-01-19,0.93,-0.0107526881720429,0
2001-01-22,0.94,0.0106382978723403,-0.0107526881720429
