"time","date","value","log_value","feb","mar","apr","may","jun","jly","aug","sep","oct","nov","dec","early","febe","mare","apre","maye","june","jlye","auge","sepe","octe","nove","dece","exp_resid","quad_resid","exp_predict","quad_predict","exp_seasonal_resid","quad_seasonal_resid","exp_seasonal_predict","quad_seasonal_predict","exp_seasonal_chg_resid","quad_seasonal_chg_resid","exp_seasonal_chg_predict","quad_seasonal_chg_predict"
66,1986-06-01,3.69595754643359,1.30723966735892,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1.28806660585536,4.27692799419494,2.86938387318817,-0.580970447761382,1.27789522761446,4.59463938107673,2.89222266940702,-0.898681834643158,1.28126929230676,4.77739531107471,2.88460635763736,-1.08143776464106
67,1986-07-01,3.44401077455885,1.236636715062,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1.18571565445179,4.16682274530454,2.90458404730362,-0.72281197074572,1.1611380342056,2.60800074967545,2.96606490624096,0.836010024883386,1.18295639380465,4.51766106119612,2.91135902607715,-1.07365028663722
68,1986-08-01,3.65590236526623,1.29634294789237,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.24341283632541,4.51690534968944,2.94021603964643,-0.861002984423253,1.22293566822811,3.88100130089609,2.98944781826767,-0.225098935629879,1.23327631964199,4.92371171997707,2.96438219646307,-1.26780935471078
69,1986-09-01,3.46948686127448,1.2440067044284,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1.16571050463125,4.46503035006843,2.97628514754784,-0.995543488793979,1.11915307404306,1.38191321313076,3.10010037209708,2.08757364814371,1.16337954923174,4.88298983683443,2.98224845328047,-1.41350297555989
70,1986-10-01,3.4011408890324,1.22411093093369,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.12889822649264,4.52757437289027,3.01279673332409,-1.1264334838579,1.16848049811943,6.97046835102786,2.91073825751158,-3.56932746199548,1.14316324069389,4.91704883471632,2.97520141302648,-1.51590794568386
71,1986-11-01,3.60280486821955,1.28171267215879,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1.18134191795363,4.85647783783453,3.04975622507366,-1.25367296961502,1.14522725743028,4.27444346506334,3.14593007182149,-0.671638596843813,1.13235838660761,4.88795105429522,3.18168250514138,-1.28514618607561
72,1986-12-01,5.57749657451439,1.71874003316289,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.80667024133084,6.95475852057969,3.08716911748425,-1.37726194606533,1.38394555940489,1.46848891747337,4.03014160247226,4.109007657041,1.17314985039628,3.26742826993826,4.75429168117813,2.31006830457619
73,1987-01-01,2.05797802315897,0.721723958617702,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.658544333072878,3.55517843636778,3.12504097264963,-1.49720041320884,0.693449047080276,4.25443252744776,2.96774223257492,-2.1964545042888,0.911154550536441,5.19568848847932,2.25864868034445,-3.1377104653203
74,1987-02-01,2.92039440101018,1.07171867599832,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.923188735469461,4.53388277205569,3.1633774208966,-1.61348837104554,1.13201243956443,12.2076862198973,2.57982536140139,-9.28729181888717,1.13064560651609,5.81119896077469,2.58294410218329,-2.89080455976444
75,1987-03-01,3.33951264071358,1.20582488038782,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1.0428858779384,5.06563846028899,3.20218416162199,-1.72612581957544,1.01229404772299,3.25603229270909,3.29895512892259,0.0834803480044735,1.02962781051719,5.02324475596154,3.24341728788008,-1.68373211524791
76,1987-04-01,3.53026517288627,1.26137298792166,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.08909491040359,5.36537793168477,3.24146696414001,-1.83511275879853,1.1468462072992,6.06703656918478,3.07823764896949,-2.53677139629852,1.04135194791887,5.14512339907966,3.39007881047466,-1.61485822619333
